,Bahrain,Saudi Arabia,Australia,Japan,China,Miami,Emilia Romagna,Monaco,Canada,Spain,Austria,Britain,Hungary,Belgium,Netherlands,Italy,Azerbaijan,Singapore,United States,Mexico,Brazil,Las Vegas,Qatar,Abu Dhabi
Aaron,148,156,217,135,456,247,181,218,70,169,226,100,214,87,188,209,266,212,296,225,120,228,305,261
Daniel,145,129,66,83,217,196,104,78,126,202,168,185,168,131,243,216,163,200,270,192,86,216,331,228
Felix,195,171,135,199,237,183,137,81,119,145,186,157,110,159,149,110,83,136,95,59,43,108,73,115
Hauke,152,146,87,113,184,210,139,71,175,168,176,165,150,180,168,120,110,174,155,55,136,101,167,128
Julian,192,167,41,205,300,194,93,27,115,157,273,132,168,145,244,193,201,172,160,181,28,153,140,223
Marcel,187,206,43,162,252,243,140,25,39,158,168,109,112,115,132,143,115,128,253,138,233,150,263,207
Stephan,181,172,121,124,218,234,106,221,30,207,268,176,157,142,181,158,176,198,196,214,104,187,213,242
