,Bahrain,Saudi Arabia,Australia,Azerbaijan,Miami,Monaco,Spain,Canada,Austria,Britain,Hungary,Belgium,Netherlands,Italy,Singapore,Japan,Qatar,United States,Mexico,Brazil,Las Vegas,Abu Dhabi
Stephan,290,302,311,344,426,202,286,264,369,226,235,279,402,210,144,180,388,302,266,343,234,314
Julian,292,287,286,343,325,186,362,258,378,193,234,286,396,233,242,295,431,276,242,383,244,301
Marcel,290,287,335,333,333,179,301,275,401,237,259,279,353,219,134,146,293,236,106,365,326,280
Aaron,239,302,311,344,334,202,286,264,369,226,235,279,510,233,184,298,323,248,257,289,254,342
Hauke,203,287,286,343,325,186,283,279,390,218,267,277,383,222,143,141,303,250,93,316,280,265
