,Bahrain,Saudi Arabia,Australia,Japan,China,Miami,Emilia Romagna,Monaco,Canada,Spain,Austria,Britain,Hungary,Belgium,Netherlands,Italy,Azerbaijan,Singapore,United States,Mexico,Brazil,Las Vegas,Qatar,Abu Dhabi
Aaron,148,164,194,97,175,244,107,200,14,131,179,123,148,174,156,173,130,146,187,101,68,160,,
Daniel,193,171,48,204,284,176,104,60,56,177,155,157,109,161,102,85,58,63,139,26,169,66,,
Hauke,194,161,101,144,215,188,156,135,93,192,267,75,182,62,144,178,127,146,136,138,53,196,,
Julian,201,155,71,211,230,222,155,56,122,186,165,158,121,180,126,43,3,131,92,11,195,78,,
Marcel,115,126,38,134,212,121,128,118,174,160,195,192,158,173,136,145,156,112,35,97,11,219,,
Stephan,181,172,121,124,218,234,106,144,46,154,204,150,146,168,133,136,143,135,190,82,131,101,,
