,Bahrain,Saudi Arabia,Australia,Azerbaijan,Miami,Monaco,Spain,Canada,Austria,Britain,Hungary,Belgium,Netherlands,Italy,Singapore,Japan,Qatar,United States,Mexico,Brazil,Las Vegas,Abu Dhabi
Stephan,290,302,311,344,334,202,286,264,369,226,235,279,402,210,144,169,250,263,114,371,278,360
Aaron,287,282,331,345,336,175,288,270,387,231,263,274,373,214,123,148,256,251,112,375,316,267
Julian,255,301,254,270,325,198,283,260,361,218,228,293,322,186,123,195,312,214,152,319,307,289
Marcel,192,254,129,215,268,213,226,165,283,132,119,272,265,160,123,200,261,196,174,172,245,215
Hauke,91,195,20,203,180,170,156,133,256,86,65,195,218,133,175,197,199,126,192,187,219,191
